Run,Config,Repetition,Metric,Convergence_Time,Convergence_Value,Unit
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_0,0.064303152664,0.0004992594954062497,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_1,0.051889678483,0.00041861412429268296,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_2,0.152100632285,0.0005066571213288588,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_3,0.122147385307,0.0004885686845399999,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_4,0.103022506907,0.0004997028771650488,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_5,0.078349319021,0.00046629328072891543,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_6,0.05290494739,0.0005186089248316835,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_7,0.07150731478,0.0005033967521126762,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_8,0.197704462214,0.000560270879957143,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,inter_arrival_user_9,0.05236942193,0.0005107068784607844,s
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_0,10.100000000000001,1.6134704009484335,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_1,20.200000000000003,1.693727996992037,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_2,10.100000000000001,1.6018333398307376,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_3,10.100000000000001,1.588530257739664,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_4,11.4,1.5890172729994336,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_5,11.3,1.6115678832925429,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_6,11.200000000000001,1.6326029312008956,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_7,10.100000000000001,1.6299916149536628,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_8,14.3,1.6143991493790688,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,user_throughput_user_9,11.100000000000001,1.602090343370442,kbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,system_throughput,10.100000000000001,6.068177104073702,Mbps
WarmupDetection2000Version2-0-20250707-14:00:21-736845,WarmupDetection2000Version2,0,rb_utilization,5.1000000000000005,24.98781413919414,unit
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_0,0.098878648354,0.00047872227329611664,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_1,0.20228315478,0.0005480272090379406,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_2,0.080959161138,0.00046088109549999973,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_3,0.079669796985,0.0005844909569264707,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_4,0.054567388896,0.0005066157955849059,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_5,0.065312784565,0.0005179676067698412,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_6,0.097381073334,0.0005338127750274727,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_7,0.049941244558,0.0004858541921980197,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_8,0.206961368342,0.0004763204537165904,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,inter_arrival_user_9,0.060997460259,0.0005316034633421052,s
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_0,15.600000000000001,1.6990728051511936,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_1,15.5,1.7054021173102474,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_2,18.3,1.7439245561559684,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_3,17.900000000000002,1.7061164206542891,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_4,18.1,1.688124338943402,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_5,18.1,1.6949343480380574,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_6,18.400000000000002,1.7200724274949968,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_7,34.0,1.6792377010239825,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_8,21.400000000000002,1.6493915646323538,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,user_throughput_user_9,23.700000000000003,1.6506092542912727,kbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,system_throughput,10.100000000000001,6.077939457196137,Mbps
WarmupDetection2000Version2-1-20250707-14:00:21-736841,WarmupDetection2000Version2,1,rb_utilization,5.1000000000000005,24.98384243700744,unit
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_0,0.069467815971,0.0005234759988939395,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_1,0.085144477245,0.0004941623202093024,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_2,0.080199449523,0.0005720446124428572,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_3,0.313769661468,0.00048218983609538385,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_4,0.110565581097,0.0004931546240360362,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_5,0.093168514456,0.000574312397685185,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_6,0.139348201573,0.0005024975310543476,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_7,0.054356516191,0.0005345868220495049,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_8,0.051285130567,0.0004197138751721311,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,inter_arrival_user_9,0.112525091679,0.0004804970183461538,s
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,queue_length_user_7,185.60000000000002,9.772698654965279,packets
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_0,32.0,1.6451197054281523,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_1,10.200000000000001,1.707163334859993,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_2,18.900000000000002,1.6580248897048486,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_3,10.3,1.6660361413042226,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_4,19.700000000000003,1.6441740240389264,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_5,39.6,1.6861882609344012,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_6,10.3,1.7042602957642379,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_7,10.3,1.694632974019549,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_8,10.100000000000001,1.7122486189255557,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,user_throughput_user_9,10.100000000000001,1.7060033609278054,kbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,system_throughput,10.100000000000001,6.085097837935397,Mbps
WarmupDetection2000Version2-2-20250707-14:00:21-736843,WarmupDetection2000Version2,2,rb_utilization,5.1000000000000005,24.984404023754017,unit
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_0,0.129235266134,0.0005209260457044536,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_1,0.060868176908,0.0004305145773857143,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_2,0.143502248334,0.00045976502047115396,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_3,0.098740723225,0.0004237849984224141,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_4,0.060255359326,0.0005042053975677967,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_5,0.112737456781,0.0005394042970384614,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_6,0.223436577064,0.0005596601598819098,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_7,0.118969584503,0.0004864578493842977,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_8,0.122304540391,0.00046662421478244303,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,inter_arrival_user_9,0.115894685132,0.0004921969494,s
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_0,26.900000000000002,1.5776219120659598,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_1,10.100000000000001,1.6483915546404488,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_2,45.900000000000006,1.6722738808510562,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_3,10.8,1.6590486414764782,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_4,10.100000000000001,1.6716802517330798,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_5,10.100000000000001,1.702497460414472,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_6,10.100000000000001,1.6686338313579199,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_7,10.600000000000001,1.6731189536573872,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_8,26.8,1.6036586252829277,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,user_throughput_user_9,10.100000000000001,1.648488527631243,kbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,system_throughput,10.100000000000001,6.0554349203996,Mbps
WarmupDetection2000Version2-3-20250707-14:00:21-736842,WarmupDetection2000Version2,3,rb_utilization,5.1000000000000005,24.990255672660673,unit
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_0,0.167222737943,0.0005055522179544075,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_1,0.139026629234,0.0004962104163476703,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_2,0.103836787379,0.0005081375602107842,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_3,0.083461697746,0.0005024726429151514,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_4,0.069374346298,0.0004441887087371797,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_5,0.053544703643,0.0005170072316764704,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_6,0.048869709116,0.0004575274876509433,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_7,0.056392326649,0.0004788131081709402,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_8,0.055065738755,0.0004913418107946431,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,inter_arrival_user_9,0.048273188127,0.0004752553386336634,s
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_0,10.100000000000001,1.7071324680917852,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_1,12.3,1.7045305404570246,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_2,18.400000000000002,1.698901059887787,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_3,16.400000000000002,1.687981752060383,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_4,10.100000000000001,1.6924801026573255,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_5,11.600000000000001,1.6875157803457828,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_6,12.700000000000001,1.7468239358149626,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_7,28.900000000000002,1.6755497705627558,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_8,10.100000000000001,1.6558146432082343,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_9,10.100000000000001,1.6822435569640353,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,system_throughput,10.100000000000001,6.078173370445111,Mbps
